Antecedents,Consequent,Support,Confidence,Lift,Leverage,Conviction,Minimum Support,Enriched Sample Rows,Fraud Rows,Legitimate Rows
Amount_Low AND V14_Low AND V16_Low AND V17_Low,Class_Fraud,0.06657848324514991,0.877906976744186,5.267441860465117,0.05393885949441505,6.825396825396826,0.03,2268,378,1890
Time_Afternoon AND V12_Low AND V17_Low AND V3_Low,Class_Fraud,0.034832451499118164,0.8777777777777778,5.266666666666667,0.02821869488536155,6.818181818181818,0.03,2268,378,1890
Amount_Medium AND V14_Low AND V16_Low AND V17_Low,Class_Fraud,0.041005291005291,0.8773584905660378,5.264150943396227,0.03321575543797766,6.7948717948717965,0.03,2268,378,1890
Time_Afternoon AND V10_Low AND V14_Low AND V16_Low,Class_Fraud,0.03439153439153439,0.8764044943820225,5.258426966292135,0.027851263962375073,6.742424242424244,0.03,2268,378,1890
Time_Afternoon AND V10_Low AND V12_Low AND V17_Low,Class_Fraud,0.03439153439153439,0.8764044943820225,5.258426966292135,0.027851263962375073,6.742424242424244,0.03,2268,378,1890
Amount_Medium AND V10_Low AND V16_Low AND V3_Low,Class_Fraud,0.03968253968253968,0.8737864077669902,5.242718446601942,0.032113462669018225,6.6025641025641,0.03,2268,378,1890
Amount_Low AND V14_Low AND V16_Low AND V3_Low,Class_Fraud,0.0701058201058201,0.8736263736263736,5.241758241758242,0.05673133450911229,6.5942028985507255,0.03,2268,378,1890
Amount_Low AND V12_Low AND V14_Low AND V17_Low,Class_Fraud,0.06657848324514991,0.8728323699421965,5.236994219653179,0.05386537330981775,6.553030303030301,0.03,2268,378,1890
Time_Morning AND V14_Low AND V16_Low AND V17_Low,Class_Fraud,0.03527336860670194,0.8695652173913043,5.217391304347826,0.028512639623750734,6.388888888888888,0.03,2268,378,1890
Amount_Medium AND V14_Low AND V16_Low AND V3_Low,Class_Fraud,0.041005291005291,0.8691588785046729,5.214953271028038,0.03314226925338036,6.369047619047619,0.03,2268,378,1890
Time_Morning AND V12_Low AND V14_Low AND V16_Low,Class_Fraud,0.03747795414462081,0.8673469387755102,5.204081632653061,0.03027630805408583,6.282051282051281,0.03,2268,378,1890
Amount_Medium AND V10_Low AND V12_Low AND V3_Low,Class_Fraud,0.03968253968253968,0.8653846153846154,5.1923076923076925,0.032039976484420925,6.1904761904761925,0.03,2268,378,1890
Time_Afternoon AND V14_Low AND V16_Low AND V17_Low,Class_Fraud,0.033950617283950615,0.8651685393258427,5.191011235955057,0.0274103468547913,6.180555555555556,0.03,2268,378,1890
V12_Low AND V14_Low AND V16_Low,Class_Fraud,0.13227513227513227,0.8620689655172413,5.172413793103448,0.10670194003527336,6.041666666666664,0.03,2268,378,1890
Time_Morning AND V10_Low AND V16_Low AND V3_Low,Class_Fraud,0.03571428571428571,0.8617021276595744,5.170212765957447,0.02880658436213992,6.025641025641025,0.03,2268,378,1890
Amount_Low AND V10_Low AND V12_Low AND V16_Low,Class_Fraud,0.07054673721340388,0.8602150537634409,5.161290322580646,0.056878306878306875,5.961538461538463,0.03,2268,378,1890
Time_Morning AND V12_Low AND V14_Low AND V17_Low,Class_Fraud,0.03527336860670194,0.8602150537634409,5.161290322580646,0.028439153439153438,5.961538461538463,0.03,2268,378,1890
Time_Afternoon AND V12_Low AND V14_Low AND V17_Low,Class_Fraud,0.03439153439153439,0.8571428571428571,5.142857142857143,0.027704291593180483,5.833333333333331,0.03,2268,378,1890
Time_Afternoon AND V10_Low AND V16_Low AND V3_Low,Class_Fraud,0.033950617283950615,0.8555555555555555,5.133333333333334,0.027336860670194002,5.769230769230767,0.03,2268,378,1890
Time_Afternoon AND V10_Low AND V12_Low AND V16_Low,Class_Fraud,0.033950617283950615,0.8555555555555555,5.133333333333334,0.027336860670194002,5.769230769230767,0.03,2268,378,1890
